study_ID,CompOC_BUFF_COMPANION_COMPANION_ENEMY,CompOC_BUFF_COMPANION_PLAYER_ENEMY,CompOC_BUFF_PLAYER_COMPANION_ENEMY,CompOC_BUFF_PLAYER_PLAYER_ENEMY,CompOC_DEATH_COMPANION_ENEMY_COMPANION,CompOC_DEATH_PLAYER_ENEMY_PLAYER,CompOC_HIT_COMPANION_COMPANION_ENEMY,CompOC_HIT_PLAYER_PLAYER_ENEMY,CompOC_HIT_KILL_COMPANION_COMPANION_ENEMY,CompOC_HIT_KILL_PLAYER_PLAYER_ENEMY,CompOC_MISS_COMPANION_COMPANION_ENEMY,CompOC_MISS_PLAYER_PLAYER_ENEMY,CompOC_NERF_COMPANION_COMPANION_ENEMY,CompOC_NERF_COMPANION_PLAYER_ENEMY,CompOC_NERF_PLAYER_COMPANION_ENEMY,CompOC_NERF_PLAYER_PLAYER_ENEMY,CompOC_SEC_ATTACK_COMPANION_COMPANION_ENEMY,CompOC_SEC_ATTACK_PLAYER_PLAYER_ENEMY,CompOF_BUFF_COMPANION_COMPANION_ENEMY,CompOF_BUFF_COMPANION_PLAYER_ENEMY,CompOF_BUFF_PLAYER_COMPANION_ENEMY,CompOF_BUFF_PLAYER_PLAYER_ENEMY,CompOF_DEATH_COMPANION_ENEMY_COMPANION,CompOF_DEATH_PLAYER_ENEMY_PLAYER,CompOF_HIT_COMPANION_COMPANION_ENEMY,CompOF_HIT_PLAYER_PLAYER_ENEMY,CompOF_HIT_KILL_COMPANION_COMPANION_ENEMY,CompOF_HIT_KILL_PLAYER_PLAYER_ENEMY,CompOF_MISS_COMPANION_COMPANION_ENEMY,CompOF_MISS_PLAYER_PLAYER_ENEMY,CompOF_NERF_COMPANION_COMPANION_ENEMY,CompOF_NERF_COMPANION_PLAYER_ENEMY,CompOF_NERF_PLAYER_COMPANION_ENEMY,CompOF_NERF_PLAYER_PLAYER_ENEMY,CompOF_SEC_ATTACK_COMPANION_COMPANION_ENEMY,CompOF_SEC_ATTACK_PLAYER_PLAYER_ENEMY,CompSC_BUFF_COMPANION_COMPANION_ENEMY,CompSC_BUFF_COMPANION_PLAYER_ENEMY,CompSC_BUFF_PLAYER_COMPANION_ENEMY,CompSC_BUFF_PLAYER_PLAYER_ENEMY,CompSC_DEATH_COMPANION_ENEMY_COMPANION,CompSC_DEATH_PLAYER_ENEMY_PLAYER,CompSC_HIT_COMPANION_COMPANION_ENEMY,CompSC_HIT_PLAYER_PLAYER_ENEMY,CompSC_HIT_KILL_COMPANION_COMPANION_ENEMY,CompSC_HIT_KILL_PLAYER_PLAYER_ENEMY,CompSC_MISS_COMPANION_COMPANION_ENEMY,CompSC_MISS_PLAYER_PLAYER_ENEMY,CompSC_NERF_COMPANION_PLAYER_ENEMY,CompSC_NERF_PLAYER_COMPANION_ENEMY,CompSC_NERF_PLAYER_PLAYER_ENEMY,CompSC_SEC_ATTACK_COMPANION_COMPANION_ENEMY,CompSC_SEC_ATTACK_PLAYER_PLAYER_ENEMY,CompSF_BUFF_COMPANION_COMPANION_ENEMY,CompSF_BUFF_COMPANION_PLAYER_ENEMY,CompSF_BUFF_PLAYER_COMPANION_ENEMY,CompSF_BUFF_PLAYER_PLAYER_ENEMY,CompSF_DEATH_PLAYER_ENEMY_PLAYER,CompSF_HIT_COMPANION_COMPANION_ENEMY,CompSF_HIT_PLAYER_PLAYER_ENEMY,CompSF_HIT_KILL_COMPANION_COMPANION_ENEMY,CompSF_HIT_KILL_PLAYER_PLAYER_ENEMY,CompSF_MISS_COMPANION_COMPANION_ENEMY,CompSF_MISS_PLAYER_PLAYER_ENEMY,CompSF_NERF_COMPANION_COMPANION_ENEMY,CompSF_NERF_COMPANION_PLAYER_ENEMY,CompSF_NERF_PLAYER_COMPANION_ENEMY,CompSF_NERF_PLAYER_PLAYER_ENEMY,CompSF_SEC_ATTACK_COMPANION_COMPANION_ENEMY,CompSF_SEC_ATTACK_PLAYER_PLAYER_ENEMY,CompOC_FINAL,CompOF_FINAL,CompSC_FINAL,CompSF_FINAL,PLAYER_ACCURACY_CompOC,PLAYER_ACCURACY_CompOF,PLAYER_ACCURACY_CompSC,PLAYER_ACCURACY_CompSF,COMPANION_ACCURACY_CompOC,COMPANION_ACCURACY_CompOF,COMPANION_ACCURACY_CompSC,COMPANION_ACCURACY_CompSF,Carimbo.de.data.hora,Sex,Age,Occupation,How.often.do.you.play.video.games.,Do.you.enjoy.games.that.offer.companions.to.aid.your.journeys.,Please.tell.us.the.companion.you.will.play.now,CompSC_PERCEIVED_FREQ_NERF_PLAYER_ENEMY,CompSC_PERCEIVED_FREQ_BUFF_COMPANION_ENEMY,CompSC_PERCEIVED_FREQ_BUFF_PLAYER_ENEMY,CompSC_PERCEIVED_FREQ_NERF_COMPANION_ENEMY,CompSC_EXPERIENCE_RATE,Please.tell.us.the.companion.you.will.play.now.1,CompSF_PERCEIVED_FREQ_NERF_COMPANION_ENEMY,CompSF_PERCEIVED_FREQ_BUFF_COMPANION_ENEMY,CompSF_PERCEIVED_FREQ_NERF_PLAYER_ENEMY,CompSF_PERCEIVED_FREQ_BUFF_PLAYER_ENEMY,CompSF_EXPERIENCE_RATE,Please.tell.us.the.companion.you.will.play.now.2,CompOC_PERCEIVED_FREQ_BUFF_PLAYER_ENEMY,CompOC_PERCEIVED_FREQ_BUFF_COMPANION_ENEMY,CompOC_PERCEIVED_FREQ_NERF_COMPANION_ENEMY,CompOC_PERCEIVED_FREQ_NERF_PLAYER_ENEMY,CompOC_EXPERIENCE_RATE,Please.tell.us.the.companion.you.will.play.now.3,CompOF_PERCEIVED_FREQ_BUFF_COMPANION_ENEMY,CompOF_PERCEIVED_FREQ_NERF_COMPANION_ENEMY,CompOF_PERCEIVED_FREQ_NERF_PLAYER_ENEMY,CompOF_PERCEIVED_FREQ_BUFF_PLAYER_ENEMY,CompOF_EXPERIENCE_RATE,Please.tell.us.the.companion.you.will.play.now.4,BUFF_PLAYER_ENEMY_PERCEIVED_UTILITY,NERF_PLAYER_ENEMY_PERCEIVED_UTILITY,BUFF_COMPANION_ENEMY_PERCEIVED_UTILITY,NERF_COMPANION_ENEMY_PERCEIVED_UTILITY,CompSC_PERCEIVED_QUADRANT,CompSF_PERCEIVED_QUADRANT,CompOC_PERCEIVED_QUADRANT,CompOF_PERCEIVED_QUADRANT,X.I.see.myself.as.a.,observed_pref_BUFF_PLAYER,observed_pref_NERF_PLAYER,observed_pref_BUFF_COMPANION,observed_pref_NERF_COMPANION,OBSERVED_QUADRANT,GEQ_SCORE_SC_PSYCHOLOGICAL_INVOLVEMENT_EMPATHY,GEQ_SCORE_SC_PSYCHOLOGICAL_INVOLVEMENT_NEGATIVE_FEELINGS,GEQ_SCORE_SC_PSYCHOLOGICAL_BEHAVIOURAL_INVOLVEMENT,GEQ_SCORE_SF_PSYCHOLOGICAL_INVOLVEMENT_EMPATHY,GEQ_SCORE_SF_PSYCHOLOGICAL_INVOLVEMENT_NEGATIVE_FEELINGS,GEQ_SCORE_SF_PSYCHOLOGICAL_BEHAVIOURAL_INVOLVEMENT,GEQ_SCORE_OC_PSYCHOLOGICAL_INVOLVEMENT_EMPATHY,GEQ_SCORE_OC_PSYCHOLOGICAL_INVOLVEMENT_NEGATIVE_FEELINGS,GEQ_SCORE_OC_PSYCHOLOGICAL_BEHAVIOURAL_INVOLVEMENT,GEQ_SCORE_OF_PSYCHOLOGICAL_INVOLVEMENT_EMPATHY,GEQ_SCORE_OF_PSYCHOLOGICAL_INVOLVEMENT_NEGATIVE_FEELINGS,GEQ_SCORE_OF_PSYCHOLOGICAL_BEHAVIOURAL_INVOLVEMENT,IMI_INTEREST_ENJOYMENT_SCORE
0,3,13,0,2,0,5,337,421,80,89,27,60,0,0,0,2,13,12,2,0,1,9,0,1,286,189,92,94,30,125,1,12,0,2,12,13,14,3,0,4,0,6,477,347,87,94,13,91,0,0,1,17,10,1,2,0,4,8,114,526,89,87,71,42,14,0,0,1,4,13,7343,10709,9146,5936,0.875259875,0.601910828,0.792237443,0.926056338,0.925824176,0.905063291,0.973469388,0.616216216,2023/09/08 1:11:40 da tarde CET,Masculine,17,Student,I make some time in my schedule to play video games.,I enjoy them and have played/watched others play them multiple times.,B,2,1,4,1,6,C,3,3,1,4,4,A,5,2,1,1,5,D,1,1,5,1,4,I've played with all 4 (four) companions,5,2,4,3,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Self Challenger,4.75,1.5,0.25,0,Self Challenger,3.5,0.2,1.166666667,1.333333333,1.6,1.666666667,2.166666667,0.4,0.833333333,1.5,1.6,2.333333333,6.571428571
1,2,14,0,1,0,4,277,395,87,93,40,69,1,0,3,5,9,15,2,0,2,2,0,0,284,125,80,90,38,121,2,13,4,1,6,11,14,4,1,0,0,7,541,415,82,86,23,62,0,4,4,15,9,1,2,3,4,8,119,344,93,90,61,54,15,0,0,1,4,14,10095,5208,6046,6632,0.851293103,0.508130081,0.870020964,0.864321608,0.873817035,0.881987578,0.959219858,0.661111111,2023/09/08 1:51:30 da tarde CET,Masculine,18,Student,I make some time in my schedule to play video games.,I played/watched others play them enough to understand I do not appreciate them.,B,4,5,3,4,5,D,3,4,4,4,6,C,5,2,2,5,7,A,2,5,3,3,5,I've played with all 4 (four) companions,3,5,3,4,Other's Facilitator,Others' Challenger,Self Challenger,Self Facilitator,Others' Facilitator,1.75,2.75,1.5,2.75,Others' Facilitator,2.5,2.8,3,3.166666667,2.6,2.833333333,3.5,2.4,3.333333333,2.333333333,2.2,3.166666667,6.571428571
2,1,13,0,1,0,12,159,648,60,66,64,72,2,0,0,2,7,6,1,0,1,0,0,17,194,116,88,98,30,146,2,13,0,2,13,11,12,3,0,1,0,7,568,232,75,76,21,96,0,0,0,14,3,1,2,0,0,14,113,267,94,86,55,82,14,0,0,9,7,11,2273,2001,5866,2260,0.9,0.442748092,0.707317073,0.76504298,0.713004484,0.866071429,0.96434635,0.672619048,2023/09/08 3:18:05 da tarde CET,Feminine,24,Student,I do not play video games.,I am not familiar with these games and/or have no formed opinion on them.,C,2,3,2,3,4,D,5,1,1,1,2,I've played with all 4 (four) companions,5,1,1,1,2,A,1,1,5,1,6,B,1,5,1,1,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Self Facilitator,0.5,3.25,0.25,0,Self Facilitator,0.833333333,1,2,0.166666667,1.4,1.333333333,0.5,1.2,1.666666667,2.5,0.6,3,6
3,3,12,5,0,0,2,830,433,71,80,32,95,1,0,1,1,7,11,3,0,1,0,0,5,658,136,76,97,44,148,0,12,1,2,11,8,12,3,0,4,0,1,539,345,83,84,25,100,0,0,2,13,9,1,3,0,1,2,122,253,85,86,64,125,12,0,0,6,4,9,6642,6279,14334,5905,0.820075758,0.478873239,0.775280899,0.669312169,0.96287703,0.937321937,0.955673759,0.655913978,2023/09/08 3:59:18 da tarde CET,Masculine,26,Student,I play video games occasionally when the opportunity presents itself.,I am not familiar with these games and/or have no formed opinion on them.,D,1,2,3,1,4,B,3,1,1,3,3,C,5,1,3,1,3,I've played with all 4 (four) companions,4,1,1,1,4,A,4,4,4,4,Other's Facilitator,Self Facilitator,Others' Challenger,Self Challenger,Self Challenger,1.25,2.75,1.5,0.5,Self Facilitator,0.166666667,0,2,0.333333333,0,1.833333333,0.333333333,0,2.333333333,0.333333333,0,2.166666667,5.142857143
4,2,12,0,2,0,6,160,684,71,71,38,25,1,0,0,4,5,4,3,0,0,3,0,0,268,130,92,89,29,74,0,13,0,2,15,0,12,4,0,1,0,10,751,353,68,79,26,35,0,1,0,7,0,1,2,0,1,2,112,235,79,84,61,56,14,0,0,4,1,0,5841,13574,4024,6131,0.964739069,0.637254902,0.909793814,0.807560137,0.808080808,0.902356902,0.966537967,0.647398844,2023/09/08 4:44:47 da tarde CET,Masculine,17,Student,I play video games occasionally when the opportunity presents itself.,I played/watched others play them enough to understand I do not appreciate them.,A,1,1,3,1,4,B,1,1,1,2,5,C,4,1,1,1,2,D,2,3,4,1,6,I've played with all 4 (four) companions,3,4,1,1,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Self Facilitator,1.75,2.5,0,0.25,Self Facilitator,1.833333333,0.2,1,1.333333333,0,2,0.666666667,0.4,1,2.333333333,0.6,1.833333333,5.142857143
5,2,13,1,1,0,8,249,394,71,90,45,45,2,0,1,2,2,11,3,0,3,1,1,1,185,132,87,93,38,147,1,12,4,1,13,7,13,4,1,5,1,1,606,362,94,95,20,85,0,0,1,20,12,1,2,0,3,1,105,217,90,94,62,100,14,0,1,2,2,12,7769,9214,12288,16423,0.897494305,0.47311828,0.8098434,0.684542587,0.846938776,0.829596413,0.968051118,0.628742515,2023/09/11 1:21:06 da tarde CET,Masculine,29,Student,I play video games occasionally when the opportunity presents itself.,I enjoy them and have played/watched others play them multiple times.,C,1,4,4,1,5,D,5,1,1,1,3,I've played with all 4 (four) companions,5,3,1,1,3,A,1,1,5,2,4,B,4,4,4,4,Others' Challenger,Self Facilitator,Other's Facilitator,Self Challenger,Others' Facilitator,2.5,1.5,1.25,1.5,Self Challenger,1.666666667,0.4,2.166666667,0.333333333,0.2,1.166666667,1.166666667,0.4,1.666666667,0.666666667,0.2,1.833333333,5.714285714
6,3,13,1,3,1,3,307,660,79,82,38,53,1,0,0,4,9,9,2,0,1,0,0,2,244,99,90,94,36,143,1,14,4,2,9,8,15,3,1,3,0,0,436,249,83,88,25,60,0,1,5,21,5,1,3,1,0,0,122,266,91,89,66,84,13,0,1,4,5,4,8391,8745,11283,11527,0.925666199,0.409090909,0.805825243,0.76,0.889855072,0.871428571,0.945770065,0.64893617,2023/09/11 3:58:42 da tarde CET,Masculine,22,Student,I play video games occasionally when the opportunity presents itself.,I am not familiar with these games and/or have no formed opinion on them.,D,1,5,1,2,6,I've played with all 4 (four) companions,5,1,1,3,5,A,5,2,3,1,2,B,2,4,4,2,3,C,4,5,3,3,Other's Facilitator,Self Challenger,Others' Challenger,Self Facilitator,Self Facilitator,1.5,3.75,1,1.5,Self Facilitator,2.166666667,1,1.666666667,2.5,1.2,2,0.166666667,2.4,1.5,1.5,1,3,4.857142857
7,2,14,4,0,0,5,369,467,72,69,37,39,1,0,0,2,10,0,2,0,4,5,0,5,234,164,82,94,25,130,1,13,1,0,8,5,13,4,1,3,0,6,380,316,84,87,24,88,0,3,0,12,3,1,2,1,2,7,94,267,88,85,72,95,13,0,2,3,2,1,4730,5034,7105,4237,0.922924901,0.557823129,0.782178218,0.737569061,0.908866995,0.903474903,0.940594059,0.56626506,2023/09/11 4:56:42 da tarde CET,Masculine,26,Student,I make some time in my schedule to play video games.,I enjoy them and have played/watched others play them multiple times.,C,2,4,3,4,6,D,5,2,2,2,5,A,5,1,2,1,2,B,5,2,5,2,4,I've played with all 4 (four) companions,4,4,4,4,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Others' Facilitator,2.5,1.25,2.5,1.5,Self Challenger,2.666666667,1.8,2.666666667,2.5,1.8,3.333333333,1.5,3.2,2.333333333,1.5,1.4,2,4.857142857
8,2,13,6,1,0,3,451,759,80,80,32,59,1,0,3,1,9,11,1,0,4,1,0,2,177,124,94,93,34,128,2,14,4,1,14,11,15,3,4,1,1,4,488,244,90,92,15,113,0,2,4,21,12,1,3,0,1,3,108,190,90,95,57,92,14,0,0,8,2,9,11417,6587,18703,8169,0.927872861,0.492063492,0.683473389,0.673758865,0.933747412,0.838862559,0.970178926,0.654545455,2023/09/12 11:06:51 da manhã CET,Masculine,24,Student,I play video games occasionally when the opportunity presents itself.,I am not familiar with these games and/or have no formed opinion on them.,C,1,3,3,1,6,I've played with all 4 (four) companions,4,2,4,2,4,D,5,1,2,1,3,B,2,2,5,1,5,A,5,4,4,4,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Self Challenger,1,3.5,3.5,2.25,Self Facilitator,1.833333333,1,2.333333333,1.666666667,1.2,2.166666667,1.666666667,0.6,2.166666667,2.666666667,1,2.166666667,6.714285714
9,2,13,1,0,0,3,204,695,77,67,38,34,2,0,1,3,7,0,1,0,0,1,0,3,143,139,91,91,39,80,2,13,6,0,7,13,13,3,0,7,0,1,468,306,85,82,19,40,0,0,0,14,12,1,2,0,1,2,111,224,88,91,57,65,15,0,0,5,2,20,5245,5933,11192,6519,0.953360768,0.634703196,0.884393064,0.775086505,0.842975207,0.785714286,0.960985626,0.660714286,2023/09/12 12:10:54 da tarde CET,Masculine,19,Student,I make some time in my schedule to play video games.,I enjoy them and have played/watched others play them multiple times.,C,3,4,3,2,7,B,5,1,2,2,3,D,5,1,3,2,5,A,2,4,4,2,7,I've played with all 4 (four) companions,5,5,5,5,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Self Challenger,2.25,2,0.25,1.75,Self Challenger,4,1.4,2.166666667,1,1.2,1.333333333,2.5,2.4,1.833333333,3.333333333,1.4,3.166666667,6.714285714
10,3,12,0,0,0,2,477,276,59,71,60,66,1,0,6,2,5,5,2,0,0,2,0,2,173,130,80,87,47,123,2,12,4,0,5,5,14,3,0,1,0,2,454,180,63,82,37,108,0,3,3,4,5,1,3,1,2,2,118,190,84,88,63,91,14,0,0,7,2,4,10891,5319,4714,4718,0.807017544,0.513833992,0.625,0.676156584,0.888268156,0.786363636,0.924643585,0.651933702,2023/09/12 12:52:59 da tarde CET,Masculine,20,Student,I make some time in my schedule to play video games.,I enjoy them and have played/watched others play them multiple times.,B,1,5,2,1,4,I've played with all 4 (four) companions,3,2,5,1,2,C,5,2,2,1,4,D,2,2,5,2,6,A,5,4,4,3,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Others' Facilitator,1.25,3,0.25,3.25,Other's Facilitator,2,0.2,2.166666667,1.166666667,1.4,2.166666667,1.5,0.6,2,2.833333333,1.2,2,5.142857143
11,3,12,0,0,0,1,947,380,58,50,47,111,0,0,0,1,6,0,2,0,0,1,1,4,569,140,76,80,40,116,2,13,0,0,8,0,13,4,0,0,0,5,232,462,66,64,39,115,0,1,0,11,0,1,2,0,1,17,207,350,64,55,70,118,12,0,0,0,2,3,3293,4306,4293,1950,0.773930754,0.546875,0.800693241,0.747863248,0.952716298,0.934318555,0.856088561,0.747292419,2023/09/12 2:34:29 da tarde CET,Feminine,26,Student;Worker,I do not play video games.,I am not familiar with these games and/or have no formed opinion on them.,B,3,3,3,3,4,I've played with all 4 (four) companions,3,3,1,1,4,C,3,3,3,3,4,D,3,3,3,3,4,A,4,4,4,4,Others' Challenger,Other's Facilitator,Self Facilitator,Self Challenger,Self Facilitator,0.5,0.25,0,0.25,Self Challenger,0,0.4,2.333333333,0.833333333,0.6,1.5,0.5,0,2.166666667,0.333333333,0.2,2.5,7
12,3,13,1,2,0,0,231,427,87,87,31,81,1,0,2,8,12,4,1,0,0,0,0,2,162,95,91,95,39,164,2,13,9,4,6,5,13,3,0,1,2,6,320,323,93,89,22,78,0,2,7,23,6,1,3,0,1,2,118,183,88,88,60,90,13,0,2,7,5,2,12629,5779,10271,6297,0.840551181,0.366795367,0.805486284,0.67032967,0.881679389,0.805970149,0.935672515,0.662921348,2023/09/12 3:14:44 da tarde CET,Masculine,26,Student,I play video games occasionally when the opportunity presents itself.,I am not familiar with these games and/or have no formed opinion on them.,A,1,5,3,2,4,B,5,1,1,5,2,C,5,3,1,1,1,D,2,3,5,1,6,I've played with all 4 (four) companions,1,5,1,5,Self Facilitator,Self Challenger,Others' Challenger,Other's Facilitator,Others' Facilitator,1,6.5,0.25,3.75,Self Facilitator,2.166666667,0.6,2,0.5,0.2,1,0.166666667,0.4,3,3.166666667,1.2,2.666666667,6.285714286
13,2,13,1,3,0,3,236,324,76,86,47,92,1,0,3,4,7,15,1,0,1,1,0,2,181,112,89,97,36,162,2,13,3,2,7,9,14,3,1,3,0,3,471,373,84,88,24,91,0,1,4,19,5,1,3,0,4,3,108,227,79,90,66,102,13,0,0,3,0,10,8798,7570,11402,5688,0.778846154,0.408759124,0.80387931,0.689969605,0.833922261,0.834101382,0.951515152,0.620689655,2023/09/12 3:49:02 da tarde CET,Masculine,20,Student,I make some time in my schedule to play video games.,I enjoy them and have played/watched others play them multiple times.,A,2,4,3,3,5,B,4,2,3,4,2,C,5,2,1,1,3,D,2,3,5,1,5,I've played with all 4 (four) companions,5,5,2,4,Self Facilitator,Self Challenger,Others' Challenger,Other's Facilitator,Self Facilitator,2.75,3.25,0.75,1.75,Self Facilitator,2.333333333,0.8,1.833333333,0,1.6,1.5,1.333333333,1,1.333333333,2,0.6,1.833333333,5.714285714
14,2,13,0,0,0,3,303,458,82,82,34,85,1,0,2,10,10,0,1,0,0,0,0,3,152,111,90,93,45,158,2,13,9,3,7,0,13,4,1,0,2,10,282,362,89,88,20,100,0,0,5,22,1,1,2,0,0,5,102,214,94,92,55,112,14,0,2,6,2,1,4657,4591,8314,3117,0.843462247,0.412639405,0.783549784,0.656441718,0.899109792,0.771573604,0.933774834,0.649681529,2023/09/12 4:23:31 da tarde CET,Feminine,21,Student,I play video games occasionally when the opportunity presents itself.,I am not familiar with these games and/or have no formed opinion on them.,A,1,2,1,4,4,B,5,1,1,2,3,C,4,2,2,1,2,D,2,4,5,1,7,I've played with all 4 (four) companions,2,5,1,4,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Others' Facilitator,0,6,0.25,3.25,Self Facilitator,0.5,1,1,0.833333333,0.6,1.333333333,0,1,1.5,3.666666667,0.6,3.5,7
15,3,12,2,5,0,1,339,591,68,63,48,70,1,0,1,0,6,4,3,0,0,1,0,1,1103,97,68,85,51,161,0,13,3,3,3,0,14,4,1,2,1,3,795,482,71,71,20,109,0,0,1,12,4,1,2,1,2,1,100,291,71,69,67,118,12,0,1,3,2,1,6648,3680,5628,3250,0.894099849,0.375968992,0.815566836,0.711491443,0.875968992,0.955805893,0.975460123,0.598802395,2023/09/12 5:07:42 da tarde CET,Masculine,23,Student,I play video games occasionally when the opportunity presents itself.,I am not familiar with these games and/or have no formed opinion on them.,C,1,4,3,1,5,B,4,4,2,1,3,D,1,4,2,1,4,A,1,3,4,2,6,I've played with all 4 (four) companions,3,4,3,5,Self Challenger,Other's Facilitator,Self Facilitator,Others' Challenger,Others' Facilitator,2.5,1.75,1,1.25,Self Challenger,1.166666667,0.8,2.166666667,0.5,1,1.666666667,0.5,0.4,1.666666667,2.833333333,0.8,2.333333333,4.714285714
16,2,12,9,2,0,6,542,401,85,93,28,73,1,0,0,0,15,14,3,0,1,2,1,2,218,152,91,91,38,129,1,13,6,0,8,12,12,4,0,7,0,9,497,515,92,88,15,44,0,0,3,19,15,1,2,1,6,3,114,283,89,92,61,51,14,0,1,3,4,11,8186,10111,9200,8176,0.845991561,0.540925267,0.921288014,0.847305389,0.950877193,0.8515625,0.970703125,0.651428571,2023/09/12 5:40:19 da tarde CET,Masculine,20,Student,I make some time in my schedule to play video games.,I enjoy them and have played/watched others play them multiple times.,A,1,5,5,1,4,B,5,1,1,4,3,C,5,2,1,1,2,D,4,1,4,1,6,I've played with all 4 (four) companions,5,4,3,4,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Self Challenger,4.25,1.5,2.75,1.75,Self Challenger,2.333333333,1.4,2.333333333,0.333333333,3,2.5,0,2.6,2.166666667,3.333333333,1,2.333333333,6.142857143
17,3,12,5,4,0,4,468,673,81,80,33,59,0,0,1,2,9,6,2,0,0,2,0,5,178,146,95,94,42,100,2,13,6,3,10,4,14,3,2,6,0,2,445,655,83,81,23,65,0,2,1,10,6,1,3,2,5,3,111,333,90,87,68,86,14,0,2,4,3,8,10132,4607,8656,6904,0.919398907,0.593495935,0.909722222,0.794749403,0.934131737,0.809090909,0.950854701,0.620111732,2023/09/13 11:37:21 da manhã CET,Masculine,22,Student,I make some time in my schedule to play video games.,I am not familiar with these games and/or have no formed opinion on them.,D,1,5,5,1,7,I've played with all 4 (four) companions,5,1,1,3,4,A,5,3,1,1,7,B,1,2,4,3,4,C,5,2,4,5,Self Facilitator,Self Challenger,Other's Facilitator,Others' Challenger,Self Facilitator,4.25,2.5,2.25,2.75,Self Challenger,2.333333333,1,3.333333333,1.666666667,0.8,2.666666667,2.333333333,1.6,3.333333333,2.166666667,1.2,2.833333333,6.428571429
18,3,14,4,3,0,1,486,351,71,91,28,36,0,0,1,4,7,10,1,0,3,3,0,0,221,136,92,96,40,92,2,13,3,2,15,11,13,4,1,7,1,0,303,255,87,93,18,49,0,3,3,17,19,1,3,0,3,1,88,253,81,95,85,65,14,0,8,2,3,22,10832,14335,12187,7591,0.906976744,0.596491228,0.838815789,0.795597484,0.945525292,0.846743295,0.943925234,0.50867052,2023/09/13 12:15:58 da tarde CET,Masculine,21,Student,I make some time in my schedule to play video games.,I enjoy them and have played/watched others play them multiple times.,C,1,4,2,1,6,B,5,1,2,3,7,D,5,3,1,1,6,A,4,2,4,1,7,I've played with all 4 (four) companions,4,5,4,5,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Others' Facilitator,4,2.75,2,3.75,Self Challenger,3.166666667,2.2,3.166666667,3,1.6,3.666666667,2.833333333,2,3.666666667,3.5,1.6,4,6.571428571
19,1,12,1,0,0,1,252,1240,87,67,43,70,2,0,1,1,14,0,2,0,0,0,0,1,198,133,92,94,33,160,2,13,0,0,16,0,13,4,1,0,1,4,571,268,79,81,18,80,0,0,0,14,0,1,2,1,0,1,284,198,61,76,91,80,14,0,1,2,1,0,6366,13299,13950,3022,0.946564885,0.453924915,0.770114943,0.712230216,0.854237288,0.857142857,0.969439728,0.757333333,2023/09/13 1:30:14 da tarde CET,Masculine,25,Student,I play video games occasionally when the opportunity presents itself.,I enjoy them and have played/watched others play them multiple times.,A,3,2,3,3,3,B,4,1,1,3,2,C,5,1,2,1,2,D,1,2,5,1,6,I've played with all 4 (four) companions,1,5,1,2,Self Facilitator,Self Challenger,Others' Challenger,Other's Facilitator,Self Facilitator,0,0.75,0.75,0.5,Self Facilitator,0.5,0,1.333333333,0.166666667,0.4,1,0,1.2,1.166666667,1.333333333,0.4,1.833333333,4.285714286
20,2,13,1,4,0,14,425,870,70,75,38,124,0,1,0,4,11,15,2,1,2,1,0,9,240,132,85,86,34,188,1,13,2,5,10,14,14,2,0,0,0,7,1016,276,79,77,23,117,1,0,1,14,8,0,3,0,0,13,116,341,89,87,63,149,13,1,0,3,6,13,3236,3578,6724,2997,0.875251509,0.4125,0.702290076,0.695918367,0.917926566,0.875912409,0.97786333,0.648044693,2023/09/13 2:27:28 da tarde CET,Feminine,18,Student,I make some time in my schedule to play video games.,I played/watched others play them enough to understand I do not appreciate them.,B,3,4,1,2,4,C,5,1,2,1,3,A,5,1,1,1,3,D,4,4,4,4,6,I've played with all 4 (four) companions,4,4,4,4,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Others' Facilitator,1.25,3.25,0.75,0.5,Self Facilitator,1.666666667,0.8,1.666666667,0.666666667,0.4,1.333333333,0.833333333,1,2,2.5,1.2,3.333333333,5.857142857
